City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Ribeira Grande,PT,38.5167,-28.7,59.4,63,20,10.36,few clouds
288,Killarney,IE,52.05,-9.5167,52.9,100,100,16.11,overcast clouds
289,Pisco,PE,-13.7,-76.2167,66.02,94,78,2.84,broken clouds
290,Shimoda,JP,34.6667,138.95,48.56,53,51,11.7,broken clouds
291,Lorengau,PG,-2.0226,147.2712,82.53,79,100,7.7,overcast clouds
292,The Valley,AI,18.217,-63.0578,76.86,70,33,18.41,scattered clouds
293,Kosonsoy,UZ,41.2561,71.5508,39.76,69,100,2.55,overcast clouds
294,Asfi,MA,32.2994,-9.2372,64.81,43,0,7.07,clear sky
295,Tual,ID,-5.6667,132.75,84.29,72,83,8.43,broken clouds
296,Ayan,RU,56.45,138.1667,10.2,87,100,2.35,overcast clouds
297,Sao Filipe,CV,14.8961,-24.4956,71.55,72,0,4.85,clear sky
298,Lobez,PL,53.6392,15.6213,38.32,92,100,16.87,overcast clouds
299,Rodrigues Alves,BR,-7.738,-72.6509,68.58,99,96,1.54,light rain
300,Baft,IR,29.234,56.6057,43.79,23,0,4.85,clear sky
301,Roanoke Rapids,US,36.4615,-77.6542,37.09,100,100,3.44,overcast clouds
302,Golden,US,39.7555,-105.2211,39.78,53,8,1.01,clear sky
303,Lusambo,CD,-4.9667,23.45,72.91,92,100,1.61,overcast clouds
304,Mae Ramat,TH,16.984,98.5166,89.92,15,23,8.12,few clouds
305,Alekseyevka,RU,50.6309,38.6903,33.12,100,100,8.99,snow
306,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.18,90,100,2.53,overcast clouds
307,Jining,CN,35.405,116.5814,45.73,31,100,4.05,overcast clouds
308,Copiapo,CL,-27.3667,-70.3333,64.33,70,0,1.05,clear sky
309,Hofn,IS,64.2539,-15.2082,29.86,61,72,41.7,light snow
310,Te Anau,NZ,-45.4167,167.7167,62.62,74,0,0.76,clear sky
311,Mehamn,NO,71.0357,27.8492,28.58,74,0,19.57,clear sky
312,Zhigansk,RU,66.7697,123.3711,-27.24,96,95,10.58,overcast clouds
