City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Kirakira,SB,2022-02-03 08:53:00,-10.4544,161.9205,77.94,91,100,7.07
188,Tuktoyaktuk,CA,2022-02-03 08:54:01,69.4541,-133.0374,-13.72,97,100,10.27
189,Katsuura,JP,2022-02-03 08:54:02,35.1333,140.3,48.31,44,89,3.13
190,Mayor Pablo Lagerenza,PY,2022-02-03 08:54:03,-19.9309,-60.7718,74.01,69,0,4.97
191,Broken Hill,AU,2022-02-03 08:54:04,-31.95,141.4333,76.71,25,0,20.71
192,Padang,ID,2022-02-03 08:54:05,-0.9492,100.3543,86.05,79,83,3.36
193,Kaili,ID,2022-02-03 08:54:06,-3.4626,120.2147,72.61,92,100,0.65
194,Vestmannaeyjar,IS,2022-02-03 08:54:06,63.4427,-20.2734,25.79,80,0,14.97
195,The Crossings,US,2022-02-03 08:54:07,25.6707,-80.4012,73.0,81,18,3.0
196,Naze,JP,2022-02-03 08:54:08,28.3667,129.4833,54.52,83,100,20.74
197,Kailahun,SL,2022-02-03 08:54:09,8.2833,-10.5667,72.34,25,0,1.48
198,Nikolskoye,RU,2022-02-03 08:54:10,59.7035,30.7861,19.29,95,92,1.43
199,Olafsvik,IS,2022-02-03 08:54:11,64.8945,-23.7142,28.67,74,91,16.6
200,Yangambi,CD,2022-02-03 08:54:12,0.8102,24.4336,92.14,38,93,2.44
201,Maturin,VE,2022-02-03 08:54:12,9.75,-63.1767,69.06,98,34,3.83
202,Chapais,CA,2022-02-03 08:54:13,49.7834,-74.8492,-2.42,91,100,7.56
203,Hobart,AU,2022-02-03 08:54:15,-42.8794,147.3294,60.26,65,40,1.01
204,Yerbogachen,RU,2022-02-03 08:54:16,61.2767,108.0108,2.52,97,97,5.21
205,Bambous Virieux,MU,2022-02-03 08:54:17,-20.3428,57.7575,79.21,94,75,26.46
206,San Matias,BO,2022-02-03 08:54:18,-16.3667,-58.4,73.09,98,99,4.9
207,Bonavista,CA,2022-02-03 08:54:19,48.6499,-53.1147,31.12,77,9,20.76
208,Saint-Augustin,CA,2022-02-03 08:54:19,51.226,-58.6502,30.7,96,100,19.13
209,Marienburg,PL,2022-02-03 08:54:20,54.0359,19.0266,36.12,89,100,9.91
210,Orotukan,RU,2022-02-03 08:54:21,62.2667,151.7,-23.39,100,78,4.12
211,Port Elizabeth,ZA,2022-02-03 08:54:22,-33.918,25.5701,75.49,69,100,16.11
212,Tarakan,ID,2022-02-03 08:54:23,3.3,117.6333,87.3,62,20,3.44
213,Ancud,CL,2022-02-03 08:54:24,-41.8697,-73.8203,54.93,92,78,2.04
214,Bilma,NE,2022-02-03 08:54:24,18.6853,12.9164,58.37,23,0,18.1
215,Ambon,ID,2022-02-03 08:54:25,-3.6954,128.1814,87.94,62,40,10.36
216,Abonnema,NG,2022-02-03 08:54:26,4.7084,6.7931,85.71,59,18,5.35
